东湖公园104.088051，30.61663
成都东站104.140665，30.629924
川大望江104.083759，30.631106
杜甫草堂104.028289，30.660648
成都动物园104.106309，30.710546
文殊院104.072664，30.676004
青龙湖104.194739 ，30.633593
川大江安103.999861 ，30.558013
双流机场103.956033 ，30.569634
四川博物馆104.034137 30.660788
四川科技馆104.065755， 30.660299
太古里104.083645 30.653435
春熙路104.077165 30.655798
东郊记忆104.122926 30.668902
川大望江104.075574 30.625139
锦里104.049846 30.646057
川大华西104.06757 30.641278
成都图书馆104.060747 30.653056
万达103.926541 30.596249
大悦城104.011748 30.625779
都江堰103.610714 31.004114
天府公园104.072418 30.433763
